Ano Lançamento	PI	Ação Governo	Categoria Gasto	Elemento Despesa	Subitem	Item Informação	Movim. Líquido - R$ (Item Informação)
2020	NE20LS00000	219A	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	NAO SE APLICA	19	19.562,41
2020	NF200000000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	NAO SE APLICA	19	353.822,27
2020	NM200000000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	NAO SE APLICA	19	15.000,00
2020	NM200000000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	NAO SE APLICA	19	8.194.742,42
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	NAO SE APLICA	19	40.254,21
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	LOCACAO DE MAO-DE-OBRA	NAO SE APLICA	19	164.859,49
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	NAO SE APLICA	19	75.585,72
2020	NO200000000	21C0	OUTRAS DESPESAS CORRENTES	[A DETALHAR]	NAO SE APLICA	19	51.570,70
2020	NO200000820	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	NAO SE APLICA	19	60.128,60
2020	NO200001020	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	NAO SE APLICA	19	12.914,85
2020	NO200001120	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	NAO SE APLICA	19	143.021,92
2020	NO200001220	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	NAO SE APLICA	19	130.859,12
2020	NO200001420	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	NAO SE APLICA	19	22.982,40
2020	NO200001620	21C0	INVESTIMENTO	EQUIPAMENTOS E MATERIAL PERMANENTE	NAO SE APLICA	19	2.745.130,00
2020	NO200001720	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	NAO SE APLICA	19	12.172,05
2020	NO20LS00000	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	NAO SE APLICA	19	583.714,20
2020	NO20SU00000	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	NAO SE APLICA	19	27.688,01
2020	NR010000000	20RX	OUTRAS DESPESAS CORRENTES	[A DETALHAR]	NAO SE APLICA	19	1.571.888,41
2020	NR010000000	20RX	INVESTIMENTO	[A DETALHAR]	NAO SE APLICA	19	910.000,00
2020	NR01GL00000	20RX	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	NAO SE APLICA	19	50.263,86
2020	NR01LS00000	20RX	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	NAO SE APLICA	19	144.870,59
2020	NE200000000	219A	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	NAO SE APLICA	20	11.344,49
2020	NDR000DRS20	4086	OUTRAS DESPESAS CORRENTES	DIARIAS - PESSOAL CIVIL	DIARIAS NO PAIS	29	6.477,93
2020	NE20LS00000	219A	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL ODONTOLOGICO	29	15.379,52
2020	NF19AA00000	8585	OUTRAS DESPESAS CORRENTES	LOCACAO DE MAO-DE-OBRA	LIMPEZA E CONSERVACAO	29	272.811,73
2020	NF19AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	SERVICOS DE ENERGIA ELETRICA	29	62.744,82
2020	NF19AA00000	8585	OUTRAS DESPESAS CORRENTES	DESPESAS DE EXERCICIOS ANTERIORES	OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS	29	36,58
2020	NF19AA00000	8585	OUTRAS DESPESAS CORRENTES	DESPESAS DE EXERCICIOS ANTERIORES	OUTROS SERVICOS DE TERCEIROS - PJ	29	412.154,67
2020	NF20AA00000	8585	OUTRAS DESPESAS CORRENTES	LOCACAO DE MAO-DE-OBRA	LIMPEZA E CONSERVACAO	29	257.679,19
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	GAS E OUTROS MATERIAIS ENGARRAFADOS	29	147.419,51
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL QUIMICO	29	186.213,35
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	PASSAGENS E DESPESAS COM LOCOMOCAO	TRANSPORTE DE SERVIDORES	29	291.566,05
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	LOCACAO DE MAO-DE-OBRA	APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL	29	2.243.902,19
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	LOCACAO DE MAO-DE-OBRA	LIMPEZA E CONSERVACAO	29	2.950.755,37
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	LOCACAO DE MAO-DE-OBRA	MANUTENCAO E CONSERVACAO DE BENS IMOVEIS	29	1.491.286,20
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	LOCACAO DE MAO-DE-OBRA	MANUTENCAO E CONSERVACAO DE BENS MOVEIS	29	347.692,10
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	LOCACAO DE MAO-DE-OBRA	SERVICOS DE COPA E COZINHA	29	1.512.662,14
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	LOCACAO DE MAO-DE-OBRA	VIGILANCIA OSTENSIVA	29	813.258,60
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	ENCARGOS FINANCEIROS INDEDUTIVEIS	29	187,43
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	FRETES E TRANSPORTES DE ENCOMENDAS	29	19.161,97
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	JUROS	29	2.263,61
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	LIMPEZA E CONSERVACAO	29	4.413,65
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	LOCACAO BENS MOV. OUT.NATUREZAS E INTANGIVEIS	29	6.081,25
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	LOCACAO DE MAQUINAS E EQUIPAMENTOS	29	209.466,60
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS	29	1.419.935,88
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	MANUTENCAO E CONSERV. DE BENS IMOVEIS	29	19.500,00
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	MANUTENCAO E CONSERV. DE VEICULOS	29	19.524,00
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	MULTAS INDEDUTIVEIS	29	5.748,22
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL	29	12.700,00
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	SERV.MEDICO-HOSPITAL.,ODONTOL.E LABORATORIAIS	29	230.935,26
